crs,codigo_municipio,nome_municipio,doses_destinadas,doses_aplicadas,primeira_dose,segunda_dose,dose_unica,nao_residentes,populacao_geral,pelo_menos_uma_dose,esquema_vacinal_completo
1,430060,Alvorada,191185,175959,119090,52477,4392,17226,210305,133454,63687
1,430310,Cachoeirinha,135509,118333,80598,34567,3168,28415,130293,84588,40379
1,430905,Glorinha,8561,5817,4083,1526,208,537,8098,5373,2346
1,430920,Gravataí,279839,258858,173628,78931,6299,45115,281519,173578,82995
1,431490,Porto Alegre,1744954,1632054,1002255,586020,43779,219917,1483771,1025979,599880
1,432300,Viamão,259642,227733,157784,64298,5651,60380,255224,136156,67011
1,430085,Arambaré,4834,4478,2825,1569,84,352,3581,3268,1801
1,430110,Arroio dos Ratos,16306,14772,9493,4604,675,2268,14151,9992,5415
1,430175,Barão do Triunfo,7617,6065,4146,1743,176,611,7487,4330,1908
1,430190,Barra do Ribeiro,15028,17791,11161,6355,275,6277,13491,9045,4476
1,430270,Butiá,22032,19741,13403,5838,500,1989,20941,13773,6305
1,430350,Camaquã,69915,64960,43883,19342,1735,4603,66261,46648,21404
1,430517,Cerro Grande do Sul,11809,9479,6735,2483,261,787,12239,7176,2802
1,430535,Charqueadas,47823,40082,24527,12443,3112,6976,40789,25404,13627
1,430544,Chuvisca,5693,4520,3364,1012,144,321,5441,3577,1161
1,430650,Dom Feliciano,15578,13523,9324,3829,370,432,15414,10212,4372
1,430676,Eldorado do Sul,40102,35956,24526,10542,888,8221,41285,24174,11229
1,430880,General Câmara,9522,8350,5537,2616,197,828,8385,6002,3006
1,430930,Guaíba,101574,83329,59041,21909,2379,12127,98143,60738,25450
1,431198,Mariana Pimentel,5051,4247,2696,1457,94,465,3885,3074,1665
1,431225,Minas do Leão,8663,6847,4905,1769,173,750,8075,5154,2042
1,431840,São Jerônimo,25616,23493,14870,8036,587,3606,24248,15403,8166
1,432035,Sentinela do Sul,6476,5866,3723,2018,125,1015,5581,3629,1981
1,432055,Sertão Santana,7459,6797,4585,2072,140,657,6486,4779,2261
1,432110,Tapes,18958,16487,10458,5646,383,2295,17300,10953,5965
1,430087,Araricá,6845,6523,4165,2153,205,1743,5698,3864,2038
1,430390,Campo Bom,67495,64822,42128,20866,1828,7415,66712,45005,22750
1,430640,Dois Irmãos,33562,30713,20629,9214,870,2166,32671,23258,10687
1,430760,Estância Velha,51209,46194,31742,13121,1331,5115,50022,33715,14652
1,431080,Ivoti,25203,23506,15678,7127,701,2233,24293,17107,8110
1,431162,Lindolfo Collor,5897,4706,3453,1072,181,408,6054,3669,1310
1,431247,Morro Reuter,7177,7137,4595,2349,193,378,6407,5086,2651
1,431306,Nova Hartz,19542,18454,12376,5531,547,2001,21615,12790,5991
1,431340,Novo Hamburgo,264220,234497,157577,71379,5541,36268,246748,154064,73364
1,431480,Portão,36693,32032,22198,8971,863,2821,37079,24029,10216
1,431514,Presidente Lucena,3503,3064,2121,858,85,210,2901,2321,998
1,431695,Santa Maria do Herval,7315,7665,4746,2727,192,954,6331,4406,2653
1,431848,São José do Hortêncio,5071,4871,3142,1604,125,320,4804,3250,1711
1,431870,São Leopoldo,239602,187673,130300,53103,4270,31070,236835,129509,58451
1,431990,Sapiranga,76729,72460,49478,20947,2035,4184,81734,55629,24599
1,430165,Barão,6817,6388,4278,1935,175,342,6171,4666,2176
1,430265,Brochier,6208,6603,3921,2572,110,432,5074,4006,2633
1,430460,Canoas,383717,336575,234685,92555,9335,70072,346616,223985,97321
1,430468,Capela de Santana,12575,9778,6647,2852,279,1060,11940,6966,3195
1,430770,Esteio,93501,81140,54073,25011,2056,16093,83202,57227,27540
1,430955,Harmonia,5665,4697,3282,1273,142,330,4866,3650,1547
1,431179,Maratá,3404,3593,2116,1398,79,258,2691,2205,1441
1,431240,Montenegro,70976,57401,36289,18451,2661,6193,65264,39455,21139
1,431337,Nova Santa Rita,30981,26327,18321,7027,979,6503,29300,17490,7528
1,431403,Pareci Novo,4587,3813,2563,1131,119,375,3837,2922,1372
1,431650,Salvador do Sul,8372,7817,5121,2495,201,466,7799,5542,2695
1,431861,São José do Sul,2965,2666,1716,890,60,390,2408,1729,894
1,431935,São Pedro da Serra,4023,3889,2544,1245,100,204,3801,2786,1415
1,431950,São Sebastião do Caí,26850,23813,16173,7056,584,3252,25685,15766,7277
1,432000,Sapucaia do Sul,143407,130945,88790,38822,3333,21556,141075,93067,43100
1,432085,Tabaí,4967,4162,2779,1243,140,447,4719,3051,1474
1,432200,Triunfo,30112,26555,17677,8177,701,3118,29538,18331,8809
1,432225,Tupandi,5055,4396,3000,1263,133,214,4855,3313,1429
1,430360,Cambará do Sul,7131,5431,3900,1375,156,823,6431,3953,1490
1,431010,Igrejinha,37263,34137,23287,9828,1022,1620,36899,26067,11406
1,431405,Parobé,57534,52982,34580,16999,1403,6474,58272,35328,17567
1,431575,Riozinho,5059,4724,3065,1544,115,661,4653,3186,1608
1,431600,Rolante,22117,20695,13891,6244,560,2173,21349,14091,6585
1,431820,São Francisco de Paula,21910,21204,13452,7162,590,2963,21710,13463,7528
1,432120,Taquara,61026,51581,34900,15010,1671,7672,57466,34970,16265
1,432170,Três Coroas,28628,10971,8082,2889,0,1108,28220,8843,3287
2,430050,Alpestre,7767,6668,4429,2092,147,296,6258,4941,2350
2,430064,Ametista do Sul,8365,7210,5155,1826,229,685,7409,5188,1985
2,430185,Barra do Guarita,3303,3111,2064,957,90,427,3248,1960,985
2,430237,Bom Progresso,2376,2358,1528,783,47,429,1942,1443,732
2,430340,Caiçara,5773,5522,3539,1872,111,566,4743,3565,1956
2,430607,Cristal do Sul,3267,3192,2040,1087,65,442,2847,1926,1070
2,430632,Derrubadas,3411,3187,2061,1051,75,336,2805,2022,1088
2,430730,Erval Seco,8436,7760,4760,2831,169,325,6912,5245,3134
2,430745,Esperança do Sul,4058,3951,2437,1438,76,17,2926,2630,1565
2,430850,Frederico Westphalen,34912,32503,21354,9947,1202,4015,31313,21765,10867
2,431050,Iraí,9576,8109,4966,2934,209,815,7241,5420,3376
2,431160,Liberato Salzano,6526,5721,3734,1868,119,1033,5219,3282,1715
2,431344,Novo Tiradentes,2671,2415,1507,852,56,154,2211,1619,904
2,431380,Palmitinho,8572,7632,5079,2368,185,694,7057,5138,2539
2,431445,Pinhal,3178,3152,1992,1109,51,398,2579,1899,1092
